word,translate
тихо,"quietly, it is calm, it is quiet, softly, gently, faintly, silently; calmly, peacefully, slowly"
наверное,Probably; Maybe
либо,or
домой,"homeward, to ones home"
ладно,"well, all right, okay"
часто,"often, frequently; closely together, thickly"
сначала,"firstly, at first, all over again, afresh"
вперёд,"forward, ahead, in the future, henceforward, henceforth, in advance; to the front"
вполне,"quite, fully, entirely, completely"
никак,in no way
едва,"hardly, only just, scarcely, just, barely"
возле,"near, beside, by"
довольно,"quite, rather, pretty, fairly"
медленно,slowly
ясно,"clearly, evidently, clear"
вчера,yesterday
далеко,"far, it is far, it is a long way, far off, a long way off, a great distance away"
около,"by, near, around, about"
завтра,tomorrow
плохо,it is bad
обычно,"usually, generally, commonly, as a rule"
иначе,otherwise; differently
скоро,"quickly, fast, soon"
прежде,"before, first, formerly, in former times"
однажды,one day
сквозь,through
мимо,"past, by"
возможно,"it is possible, it may be, it is not unlikely, possibly, perhaps"
кстати,"by the way, incidentally, besides, in fact"
вместо,instead of
трудно,difficult
менее,less
легко,"easy, easily, lightly, slightly"
сто,hundred
вниз,"down, downwards"
вовсе,"At all, quite"
двое,two
спокойно,"quietly, calmly"
достаточно,"it is enough, sufficiently, enough"
столько,"so much, so many"
молча,"silently, tacitly, without a word"
видимо,"apparently, evidently"
сорок,forty
поскольку,"since, inasmuch as, as"
шесть,"six, 6"
неожиданно,"unexpectedly, suddenly"
вон,"out, there, over there"
спасибо,"thanks, thank you"
впервые,"for the first time, first"
сильно,"strongly, violently, heavily, greatly, badly, vastly"
вновь,"again, afresh, anew"
впереди,"in front, ahead, before, in front of"
пожалуйста,please; you are welcome; here you go
нечего,nothing
зато,"but, but then, but on the other hand, for it, in return"
весьма,"extremely / very, highly, greatly"
ибо,for
правильно,"right, rightly; correctly, regularly; properly"
интересно,"it is interesting, interestingly"
невозможно,"it is impossible, impossibly"
столь,so
причём,"Moreover, in addition, and, at that, with; How is that relevant"
недавно,recently
обратно,"back, backwards, conversely, inversely"
неужели,"really, actually"
осторожно,"carefully, cautiously, guardedly, warily, gingerly"
ради,for the sake of
слегка,"somewhat, slightly, gently"
вскоре,"soon, shortly after, before long"
вверх,"up, upwards, upstream"
семь,"seven, 7"
обязательно,"necessarily, without fail"
понятно,"it is clear, naturally, of course, clearly, plainly, forcibly, perspicuously"
страшно,"it is terrible, scary, terribly, awfully, frightfully"
странно,"it is strange, in a strange way, strangely"
несмотря,"despite, in spite of"
отсюда,"from here, hence"
явно,"evidently, obviously, manifestly, patently"
оттуда,from there
наверно,"probably, most likely, for sure, certainly, for a certainty"
немедленно,"immediately, at once"
резко,"sharply, drastically; abruptly, suddenly, quickly"
трое,three of ...
вдоль,along
одновременно,at the same time
естественно,"naturally, of course"
верно,"rightly, correctly; probably, likely"
восемь,"eight, 8"
наоборот,"inside out, back to front, the wrong way, on the contrary"
гораздо,"much, far, by far"
громко,"loud, aloud"
поздно,"it is late, late"
пятьдесят,fifty
полностью,"completely, utterly, in full"
вероятно,very likely
наиболее,most
ой,Oh
внутри,"inside, within"
тяжело,hardly
постепенно,"gradually, little by little, by degrees"
собственно,actually; truely; honestly
насчёт,"as regards, concerning, about, of"
внимательно,"attentively, carefully, intently"
вслед,"following, after"
примерно,"around; approximately, roughly"
случайно,"by chance, by accident, accidentally, by any chance"
нечто,something
весело,"funny; happily, cheerfully"
постоянно,"constantly, continually, always"
настолько,"so, thus"
прекрасно,"excellently, perfectly well"
сверху,"from above, from top, on top"
навстречу,"towards, approaching"
господи,"lord, oh my God"
далее,"further, later, then"
полтора,one and a half
внизу,"below, underneath, downstairs, at the foot, at the bottom"
важно,"it is important, with an air of importance, with a consequential air, grandly"
внезапно,"suddenly, all of a sudden"
напротив,"opposite, on the contrary"
зря,"to no purpose, for nothing"
жалко,pitifully
практически,almost
сзади,"from behind, from the rear, behind"
честно,"honestly, fairly, frankly"
итак,"thus, so"
больно,"it is painful, badly, hard, very, mighty, a bit too"
очевидно,"obviously, apparently, manifestly, evidently"
рано,"it is early, it is too early, early"
строго,"strictly, severely"
ниже,"lower, below"
наверняка,for sure
приятно,"it is pleasant, it is nice, pleasantly, agreeably"
серьёзно,"seriously, earnestly, in earnest"
вряд,unlikely
навсегда,"for ever, for good"
тотчас,"immediately, at once, instantly"
спустя,"after, later"
обо,about (used only with first person prepositional case pronoun)
крепко,tightly
отчего,why
никуда,nowhere
абсолютно,"absolutely, perfectly, utterly"
нету,"there is no, there are no"
решительно,"resolutely, decidedly, positively, absolutely"
близко,"near, close by, nearly"
окончательно,"finally, once and for all"
редко,rarely
темно,it is dark
слышно,"one can hear, they say, it is said, it is rumoured, audibly"
еле,"hardly, only just, scarcely, barely"
ох,oh
здорово,"magnificently, splendidly, superbly, healthily, soundly, wholesomely, fine"
буквально,"literally, word for word"
кругом,"round, around, all round, entirely"
чисто,"it is clean, cleanly, neatly, purely, merely"
полчаса,half an hour
двенадцать,twelve
оттого,that is why
ровно,"equally, sharp, exactly, smoothly, absolutely, regularly, evenly"
мгновенно,"instantly, in a trice, in a moment"
глубоко,"it is deep, deep, deeply, profoundly"
девять,"nine, 9"
твёрдо,"firmly, firm"
насколько,"how much, as far as, so far as; to what degree"
заранее,"beforehand, in good time"
сперва,"at first, firstly"
широко,"wide, widely, broadly"
изо,from; out of
таков,such
специально,"intentionally, on purpose; specially, especially"
благодаря,"thanks to, owing to, because of"
эй,"hey, hi"
позади,behind
отлично,excellently
слева,to the left
везде,everywhere
тщательно,"carefully, thoroughly, closely"
путём,"by means of, by dint of, properly"
боже,my god; god
согласно,according to
некогда,"there is no time, once, in former times, in the old days"
неплохо,"not bad, rather well, quite good"
радостно,"With joy, happily"
заметно,"it is noticeable, one can see, noticeably, appreciably"
немало,"quite a lot, much, quite a few, many, quite a number of, a good many, a great deal"
холодно,"it is cold, coldly"
ха,ha
непонятно,"it is incomprehensible, it is impossible to understand, incomprehensibly"
непременно,"without fail, certainly"
высоко,"high, high up, it is high"
нигде,nowhere
мягко,"softly, mildly, gently"
задумчиво,pensively
коротко,"briefly, in brief, intimately; short"
исключительно,"exceptionally, exclusively, solely"
вечно,forever
аккуратно,"neatly; carefully, regularly"
незаметно,"it does not show, it does not look as if, imperceptibly"
особо,really
смешно,"funny, it is ridiculous, it makes one laugh, comically"
каков,what
якобы,as if /as though / supposedly
увы,alas
удивительно,"wonderfully, astonishingly, surprisingly, very, extremely, admirably, marvellously"
вслух,aloud
значительно,"considerably, significantly"
ужасно,"terribly, horribly, awfully, frightfully"
невольно,"involuntarily, automatically, unintentionally, unwittingly"
ныне,"now, at present"
вовремя,on time
ярко,"brightly, strikingly, brilliantly, vividly"
посреди,in the middle
снизу,"from below, from bottom, below, on the initiative of the masses"
меж,"betwixt, between"
немножко,"a little, a trifle, a bit"
дважды,twice
вне,"out of, outside"
др,birthday
нынче,nowadays
относительно,"relatively, concerning, relative to, about"
крайне,extremely
охотно,"willingly, readily, gladly"
внутрь,"inside, inwards, in"
недалеко,"it is not far, not far"
негромко,"quietly, softly"
накануне,"the day before, on the eve"
чрезвычайно,"extraordinarily, extremely, utterly"
замуж,marry
срочно,"quickly, urgently"
четверо,four
помимо,"besides, apart from"
грустно,"it is sad, sadly, sorrowfully"
нормально,normally
вежливо,"politely, courteously"
неловко,"embarrassing, uncomfortably, awkwardly"
наверх,"up, upward, upstairs, to the top"
сидя,sitting
шестьдесят,sixty
всерьёз,"seriously, in earnest"
впоследствии,"afterwards, later, later on, subsequently"
отнюдь,"by no means, not at all"
неподалёку,not far away
ласково,affectionately; sweetly
сердито,angrily
вдвоём,two
триста,three hundred
поначалу,"at first, firstly, in the beginning"
отчетливо,"clearly, vividly"
прочь,"away, off"
тихонько,"quietly, softly, gently, slowly, on the sly"
некуда,nowhere
поспешно,"in a hurry, hurriedly, hastily"
напрасно,"in vain, for nothing, uselessly, to no purpose"
стоя,upright
красиво,beautifully
несомненно,"undoubtedly, doubtless, beyond all question, without question"
изредка,"now and then, from time to time, occasionally"
включая,"including, included"
ранее,before
глупо,"it is foolish, it is stupid, it is silly, foolishly, stupidly"
небось,most likely
испуганно,"scared, startled, terrified"
жарко,"it is hot, hotly"
уверенно,"confidently, with confidence"
чётко,"clearly, accurately"
удивленно,"surprisingly, astonishingly"
надолго,for a long time
скучно,"boringly, tediously"
фактически,"practically, actually, in fact, virtually"
следовательно,"consequently, therefore, hence"
искренне,sincerely
издали,from a distance
мысленно,mentally
дескать,they say
нередко,"not infrequently, quite often"
подобно,like
семьдесят,seventy
военно,militarily
всюду,everywhere
наружу,outside
свободно,freely; easily
недолго,not long
непосредственно,"immediately, directly"
нехорошо,"it is bad, it is wrong, badly"
нарочно,on purpose
плотно,"close, tightly"
вначале,"at first, in the beginning"
растерянно,perplexedly
неприятно,"it is unpleasant, unpleasantly"
пешком,"on foot, afoot"
неудобно,"it is inconvenient, uncomfortably"
безусловно,"undoubtedly, absolutely, unconditionally, there is no doubt that, of course, certainly"
соответственно,"accordingly, correspondingly, conformably, according to"
стремительно,Swiftly
обидно,"it is a pity, offensively"
откровенно,"frankly, candidly, openly"
поверх,over
неподвижно,"motionless, fast"
некого,there is nobody one can
направо,to the right
налево,"to the left, on the side"
ежели,if
сего,this
опасно,"dangerously, perilously"
светло,"it is light, brightly"
отдельно,separately
подробно,"in detail, at length, minutely"
грубо,"roughly, coarsely, rudely, crudely"
небрежно,"casually, carelessly, negligently"
нисколько,"not at all, not in the least, none at all"
торжественно,solemnly
заодно,at the same time
пошло,vulgarly
благополучно,"all right, well, happily"
густо,"thickly, densely"
печально,"sadly, regrettably, unfortunately"
научно,scientifically
нежно,"tenderly, delicately"
лениво,"lazily, idly"
открыто,"open, opened, openly, plainly"
ежедневно,"daily, every day"
успешно,"successfully, well"
потихоньку,"slowly, noiselessly, silently, on the sly, secretly, by stealth"
полно,"fully; brim-full, full to the brim"
пристально,"fixedly, intently"
мрачно,"grim, dark, bleak"
сбоку,"from one side, on one side, at the side"
поди,"I should not wonder, I dare say, just try"
официально,officially
сухо,"it is dry, drily, coldly"
равнодушно,"with indifference, indifferently"
горько,bitterly
целиком,"whole, wholly, entirely"
бесплатно,"free of charge, gratis"
мирно,"peacefully, in harmony"
нервно,nervously
отчаянно,"desperately, awfully"
низко,"low, basely, meanly, despicably"
терпеливо,"patiently, with patience"
вдали,"in the distance, at a distance, far off"
глухо,"deafly; dully, vaguely, in a muffled way (sound); out-of-the-way, remotely (place)"
пусто,be empty
поперёк,across
восемьдесят,eighty
бесшумно,"quietly, silently, noiselessly"
вплоть,"up to, right up to, down to"
шестнадцать,sixteen
повсюду,"everywhere, far and wide"
дружно,"in a friendly manner, in friendly fashion, amicably, simultaneously, together, rapidly"
изнутри,"from within, on the inside"
одинаково,equally
насквозь,"through, throughout"
жадно,"greedily, avidly"
неважно,"it is unimportant, never mind, not very well, poorly, indifferently"
недостаточно,"it is insufficient, it is not enough, insufficiently"
гордо,proudly
упорно,persistently
вправо,to the right
попросту,"simply, without ceremony"
устало,tiredly
тесно,"tightly, narrowly, closely"
вправду,"really, really and truly"
издалёка,"from far away, from afar"
дорого,"expensive, dear, dearly"
впрямь,"really, indeed"
ничуть,not a bit
шумно,noisily
людской,human
вплотную,"close, in real earnest"
активно,actively
влево,to the left
стоп,stop
боковой,lateral
ура,hurrah
снаружи,outside
смело,"boldly, bravely, fearlessly"
удобно,"it is convenient, it suits, it is proper, comfortably"
самостоятельно,"independently, without assistance"
туго,"tight, with difficulty, slowly"
виновато,guiltily
вопреки,"in spite of, despite, notwithstanding, against, in defiance of, regardless of, in the teeth of, contrary to"
сравнительно,comparatively
живо,"vividly, strikingly, keenly, with animation, quick, promptly"
северо,North
пятьсот,five hundred
пополам,"in two, half-and-half"
насмешливо,derisively
восемнадцать,eighteen
мучительно,"painfully, agonizingly, excruciatingly"
недаром,"not for nothing, not without reason, not without purpose"
противно,"II, against"
тревожно,"anxious, uneasy, troubled, perturbed, worried, disturbed, disturbing"
бесконечно,"infinitely, extremely, endlessly, without end"
трижды,"three times, thrice"
пятеро,five
горячо,"hotly, with heat, warmly, with warmth"
внешне,"outwardly, in outward appearance"
круто,super cool
невероятно,"it is incredible, it is inconceivable, it is beyond belief, incredibly, inconceivably"
независимо,independently
вполголоса,"in an undertone, in a low voice"
категорически,"categorically, flatly"
недовольно,"unhappy, displeased"
бессмысленно,"senselessly, foolishly"
автоматически,"automatically, independently"
подозрительно,"it is suspicious, suspiciously, with suspicion"
вяло,"limply, listlessly, inertly"
чересчур,"too; way over, too much"
наполовину,half
отныне,"henceforth, henceforward, from now on"
удачно,"successfully, well"
смущенно,embarrassingly
семнадцать,seventeen
запросто,"unceremoniously, without ceremony"
бесполезно,"it is useless, it is no good, it is of no use, uselessly"
остро,"sharp, keenly"
поблизости,"near at hand, hereabout, close by"
судорожно,spasmodically
справедливо,"fair, right, correct"
плавно,smooth
бережно,"with care, cautiously, solicitously, with solicitude"
любопытно,it is interesting
скромно,modestly
яростно,furiously
рф,Russian Federation
нежели,than
девяносто,ninety
вблизи,"close by, nearby"
покорно,"humbly, submissively, obediently"
черно,black (short form)
сплошь,"completely, entirely, everywhere, nothing but"
регулярно,regularly
вследствие,"as a result of, owing to, on account of, in consequence of"
намного,way more
втроём,three
предварительно,"beforehand, preliminarily, as a preliminary"
сладко,"it is sweet, sweetly"
ненадолго,"for a short while, not for long"
смутно,"vaguely, dimly"
четырнадцать,fourteen
мвд,Ministry of Internal Affairs (Russia)
неоднократно,"repeatedly, time and again, more than once"
счастливо,happily
замечательно,"it is remarkable, it is wonderful, remarkably, wonderfully, out of the ordinary"
отчасти,"partly, rather"
вдобавок,"in addition, to boot, moreover, into the bargain, on top of everything, as well"
сложно,"it is complicated, it is difficult, in a complicated manner"
угрюмо,sullenly
некто,someone
свыше,"from above, from heaven, over, beyond"
преимущественно,"mainly, chiefly"
нелегко,difficult
неизменно,invariable
рассеянно,absentmindedly
вдвое,"twice, half, in half"
реально,"really, truly"
понемногу,"little, a little at a time, little by little"
поистине,"indeed, in truth"
неизбежно,"it is inevitable, inevitably, of necessity"
нехотя,"unwillingly, reluctantly, inadvertently"
вовсю,"fully, completely"
ого,wow
бодро,"cheerfully, briskly"
социально,socially
сурово,"severely, sternly"
единственно,"only, solely"
беззвучно,silently
прочно,"solidly, firmly, well"
мелко,"fine, not deep"
хрипло,coarsley; gruffly; hoarsley
жёстко,"it is hard, hard"
добровольно,voluntarily
грозно,"threateningly, menacingly, sternly"
нелепо,"it is absurd, absurdly"
непрерывно,"uninterruptedly, continuously"
тайно,"secretly, in secret, in an underhand way"
послезавтра,the day after tomorrow
заново,"over again, from the start"
шибко,"much, smartly, quickly, hard"
зачастую,"often, frequently"
посередине,"in the middle, half way along"
неохотно,"unwillingly, with reluctance, reluctantly"
сколь,how
изрядно,"fairly, pretty well"
приблизительно,"approximately, roughly"
тринадцать,thirteen
начисто,"clean, fair, decidedly, completely, openly"
ми,"E, mi"
частично,"in part, partially"
прилично,"decently, properly, becomingly, decorously, quite well"
конкретно,specifically
тоскливо,"drearily, sadly, dully"
мельком,"in passing, cursorily"
жестоко,"cruelly, nastily, viciously"
тупо,"dully, stupidly, with a stupid air"
негде,"there is nowhere, there is no place"
наутро,"the next morning, on the morrow"
взамен,"instead of, in return for, in exchange for"
жутко,eerily; creepily
частенько,"quite frequently, fairly often"
всячески,"in every way possible, in every possible way"
смертельно,mortally
наизусть,"by heart, by rote"
посредством,"by means of, by the use of, through"
гм,ahem
подле,"by the side of, by side"
наедине,"in private, privately, tete-a-tete, a deux"
человечески,"humanely, courteously"
намерен,intending
этак,"so, in this manner, thus"
напоследок,"in the end, in conclusion, after all"
подолгу,"long, for hours, days, months"
суждено,"destined, bound, meant to"
сознательно,"consciously, conscientiously, deliberately"
моментально,"instantly, in a moment"
мемуар,memoire
определённо,definitely
полезно,"it is useful, it is healthy, it is wholesome"
уныло,"despondently, dolefully, dejectedly"
недоверчиво,"with distrust, distrustfully, mistrustfully"
притом,besides
злобно,angrily
одиноко,lonely
сдержанно,"with restraint, with discretion, with reserve"
существенно,"significantly, remarkably"
позавчера,the day before yesterday
ввиду,in view; owing to
основательно,thoroughly
покуда,as long as
маленько,"a little, a bit"
тонко,"thinly, subtly"
четыреста,four hundred
внутренне,inwardly
тускло,"dimly, wanly"
безразлично,"it does not matter, with indifference"
предельно,completely; extremely
близ,"near, close to"
щедро,generously
кверху,"up, upwards"
обиженно,resentful
легонько,"slightly, gently"
хорошенько,"thoroughly, properly, well and truly"
теоретически,"in theory, theoretically"
незачем,"no need, it is useless"
приветливо,"friendly, welcoming"
вкусно,"it is tasty, delicious, palatable, savoury"
поодаль,"at some distance, aloof"
шестеро,six
принципиально,"on principle, in the main, in essence"
отрицательно,negatively
характерно,characteristically
смирно,quietly
умело,skilfully
набок,"on one side, awry, sideways"
уютно,"cosily, comfortably"
нечаянно,"by accident, accidentally, inadvertently"
мило,"nice, nicely, pretty, prettily"
незадолго,"shortly, not long"
тайком,"secretly, in secret, surreptitiously, by stealth, on the quiet, on the sly"
наподобие,"like, not unlike"
сочувственно,"with sympathy, sympathetically"
выгодно,"it is advantageous, it is profitable, it pays, advantageously"
великолепно,"splendidly; magnificently, stunningly"
добродушно,"with bonhomie, with friendliness, with cordiality"
истинно,"truly, really"
бесследно,without leaving a trace
душно,air stuffy
болезненно,"painfully, badly, oversensitively"
гладко,smoothly
сугубо,"especially, particularly"
страстно,"passionately, with passion"
подчас,"sometimes, at times"
вверху,"above, overhead"
славно,"it is nice, famously, well"
посредине,"Middle, in the middle; Halfway"
косо,"slantwise, obliquely, aslant, askew, asquint"
напрямую,Directly
насмерть,to die
безумно,"madly, awfully, frightfully"
настежь,wide
алло,hello on the phone
деликатно,delicately
надобно,necessary
назло,to spite
задолго,"long before, well in advance"
навеки,"for ever, for good, for ever and ever"
забавно,"it is fun, amusingly, in an amusing way"
восторженно,"enthusiastically, rapturously"
параллельно,"parallel, simultaneously, at the same time"
впредь,"henceforth, henceforward, in future, for the future, in the future, from this time onward"
обыкновенно,"usually, as a rule"
формально,"nominally, formally"
любезно,"kindly, courteously, politely, nicely"
достойно,"suitably, fittingly, with dignity"
враз,"all together, simultaneously"
босиком,barefoot
украдкой,"by stealth, stealthily, furtively"
публично,"publicly, in public, openly"
сверх,"over, besides, above, beyond"
су,sou
тщетно,"vainly, in vain"
ежегодно,"yearly, every year, annually"
воистину,"truly, in truth, indeed, verily"
вдаль,far
морально,morally
чуточку,"a little, a wee bit, just a bit"
достоверно,for certain for sure
поразительно,"amazing, astonishing"
условно,"on condition that, conditionally"
девятьсот,nine hundred
давеча,"lately, recently"
серо,grey; cloudily
назавтра,the next day
пронзительно,"shrilly, piercingly, stridently"
грязно,"it is dirty, dirtily, untidily"
вконец,"completely, utterly"
логично,"logical, logically"
шестьсот,six hundred
извне,from without
долой,"down with, away with"
периодически,periodically
одобрительно,"approvingly, with approval"
общественно,socially
искоса,"askance, aslant"
горестно,"sorrowfully, sadly"
хитро,"slyly, cunningly, intricately, with cunning, adroitly"
поневоле,willy-nilly
наугад,"at random, by guess-work"
наглухо,"tight, hermetically"
безуспешно,"to no effect, without success, unsuccessfully"
наперёд,in advance
кратко,briefly
посему,"Therefore, thence"
вредно,"harmful, hurtful; unhealthy"
семеро,seven
наскоро,"hastily, hurriedly, slapdash"
кабы,"If, if only"
отовсюду,"from everywhere, from every quarter"
многократно,"repeatedly, many times, over and over again"
поочерёдно,"in turn, by turns"
разумно,"reasonably, judiciously, wisely, cleverly, sensibly"
вдогонку,"after, in pursuit of"
превосходно,"perfectly; excellent, first-rate"
неуклюже,awkwardly
изначально,originally
восемьсот,eight hundred
оживлённо,"animatedly, with animation"
насильно,"by force, under compulsion"
средь,"amid, among"
беспокойно,uneasily
наяву,when one is awake
неверно,"it is not true, incorrectly"
втайне,"in secret, secretly"
властно,bossily; imperiously
последовательно,"constantly, consecutively"
семьсот,seven hundred
напрочь,without a trace
спешно,"in haste, hastily"
спереди,in front
вмиг,"in an instant, in a moment, in a flash, in a twinkling, in no time"
внятно,distinctly
беспрерывно,"continuously, uninterruptedly, without a break"
вдалеке,"in the distance, at a distance, far off"
дополнительно,in addition
прохладно,it is a little cold
невдалеке,not far off
гневно,"angrily, wrathfully"
неприлично,indecently
традиционно,traditionally
наготове,"at call, in readiness"
вдребезги,into smithereens
усердно,"hard, diligently"
невзначай,"by chance, quite unexpectedly"
нарочито,"deliberately, intentionally, expressly"
врасплох,"unawares, by surprise"
дурно,"badly, bad, ill"
искусственно,artificially
секретно,"secretly, covertly, in secret"
убеждённо,with conviction
непросто,not easy; no simple task; not directly accomplishable
скверно,badly
бесспорно,"there is no doubt, indisputably, unquestionably, undoubtedly, to be sure, assuredly, beyond question"
наспех,"in a hurry, carelessly, in a slapdash manner"
намертво,"tightly, fast"
взволнованно,"with emotion, with agitation"
вдоволь,"in plenty, in abundance"
рядышком,"near, nearby, alongside"
попутно,"in passing, incidentally, at the same time"
вторично,"a second time, for the second time"
заведомо,"wittingly, deliberately"
мимоходом,"in passing, by the way"
вбок,sideways
вглубь,"deep down, deep into"
равномерно,"evenly, uniformly"
доселе,"hitherto, up to now"
ничком,prone
некстати,"inopportunely, malapropos, irrelevantly, out of place, ineptly"
первоначально,originally
дёшево,"cheap, cheaply"
отвратительно,"disgustingly, abominably"
маловато,"not quite enough, barely sufficient"
поутру,in the morning
пятью,five times
положительно,"positively, absolutely"
своевременно,"in time, in proper time, opportunely"
наотрез,"flatly, point-blank"
помаленьку,"little by little, so-so"
бишь,now
чертовски,devilishly
слепо,"blindly, blindfold"
ненароком,"inadvertently, by accident"
напрямик,"straight, point-blank"
искусно,skilfully
нипочём,"never, not for the world, dirt-cheap"
протяжно,in a drawling manner
грузно,heavily
навечно,"for ever, for good, in perpetuity"
обстоятельно,"thoroughly, in detail"
поодиночке,"one at a time, one by one"
наперебой,"in eager rivalry, vying with each other"
впору,"just right, one might as well, one can do little more than"
незамедлительно,without delay
хладнокровно,"coolly, in cold blood"
вскользь,casually
загодя,in good time
уклончиво,evasively
мужественно,with fortitude
грамотно,"correctly, grammatically, competently"
ядовито,"venomously, maliciously"
ниоткуда,from nowhere
бегло,"fluently, superficially, cursorily"
втрое,three times
издавна,"long since, since olden times"
почитай,"almost, nigh on"
впустую,"for nothing, to no purpose, in vain"
рысью,at a trot
наизнанку,"inside out, on the wrong side"
типично,Typically
законно,"it is right, it is in accordance with the law, lawfully, legally"
чудно,"it is beautiful, wonderfully, beautifully, oddly, strangely"
проклятье,curse
наголо,bare
молчаливо,Silently
неуклонно,steadily
бессознательно,"unconsciously, instinctively"
трезво,"soberly, sensibly"
азартно,"recklessly, heatedly, excitedly"
неспроста,"not without purpose, with some hidden design"
смиренно,"humbly, with humility, meekly"
сыро,it is damp
живьём,alive
воедино,together
самолично,"oneself, by oneself"
туманно,"hazily, obscurely, vaguely; foggy"
беспечно,"light-heartedly, with complete unconcern"
соло,solo
порядочно,"fair amount, fairly, pretty, rather, decently, honestly"
свежо,"it is fresh, it is cool, it is chilly, fresh, coolly"
психически,mentally
беспрепятственно,"without difficulty, without hindrance, without obstruction, freely"
безвозвратно,"irretrievably, irrevocably"
беззаботно,"light-heartedly, carelessly"
повсеместно,everywhere
утвердительно,"affirmatively, in the affirmative"
невыгодно,"it is not advantageous, it does not pay, disadvantageously, not to advantage, at a loss"
натурально,"naturally, of course"
исподволь,"little by little, leisurely, gradually, by degrees"
зорко,"vigilantly, with a vigilant eye"
неминуемо,"inevitably, unavoidably"
стыдливо,"diffidently, bashfully, shyly"
наглядно,"by visual demonstration, visually, graphically, clearly"
насовсем,for keeps
сполна,"completely, in full"
умно,"it is wise, cleverly, wisely, sensibly"
всецело,"completely, entirely, wholly, exclusively"
поныне,"up to the present, until now, till now"
безмерно,"infinitely, beyond all measure"
наравне,"on a level, equally"
надвое,"in two, ambiguously"
благородно,nobly
подавно,"so much the more, all the more"
мокро,it is wet
поголовно,one and all
вслепую,"in the dark, blindly"
молниеносно,with lightning speed
